Region,Total,Males,Females
Abai,610189,298770,311419
Akmola,787971,385124,402847
Aktobe,928185,455105,473080
Almaty,1505984,752422,753562
Atyrau,693040,342146,350894
Batys Kazakhstan,688091,336329,351762
Zhambyl,1217955,604247,613708
Zhetisu,698675,345356,353319
Karagandy,1134753,542936,591817
Kostanai,832110,402216,429894
Kyzylorda,833531,418288,415243
Mangistau,766956,381312,385644
Pavlodar,754903,362521,392382
Soltustik Kazakhstan,534024,257956,276068
Turkistan,2119063,1078994,1040069
Ulytau,221395,108423,112972
Shygys Kazakhstan,730172,349479,380693
Astana city,1354435,645698,708737
Almaty city,2161695,1003872,1157823
Shymkent city,1191877,575528,616349
